xP,yP,thetaP,inputP,xE,yE,thetaE,inputE,,
0,0,0,0.99991465,5,5,1.570796327,-1,,max
0.070555073,0.002492989,0.070638513,0.99995378,5.000620727,5.035226976,1.535558412,-1,,
0.140758231,0.009959561,0.141278096,0.999944947,5.002482137,5.070410215,1.500320498,-1,,
0.210259316,0.022362484,0.21191695,0.999933138,5.005581918,5.105506035,1.465082584,-1,,
0.278711682,0.039639838,0.282554811,0.999916855,5.009916223,5.140470859,1.429844669,-1,,
0.345773937,0.061705367,0.353191273,0.999893522,5.01547967,5.175261278,1.394606755,-1,,
0.411111653,0.088448907,0.423825672,0.999858415,5.022265351,5.209834095,1.359368841,-1,,
0.474399056,0.119736913,0.49445684,0.999802074,5.030264841,5.244146386,1.324130926,-1,,
0.535320693,0.155413091,0.565082528,0.999703279,5.039468209,5.278155549,1.288893012,-1,,
0.593573114,0.195299089,0.63569776,0.999506051,5.049864027,5.31181936,1.253655098,-1,,
0.64886669,0.239195126,0.706288912,0.999021513,5.061439389,5.34509602,1.218417183,-1,,
0.700928407,0.286879852,0.776801354,0.997277692,5.074179923,5.377944216,1.183179269,-1,,
0.749515259,0.338101591,0.846781496,0.983951412,5.088069809,5.410323163,1.147941355,-1,,
0.79558092,0.391650525,0.873977683,-0.213991894,5.103091803,5.442192661,1.11270344,-1,,
0.84097235,0.445780638,0.871983285,0.157527903,5.119227254,5.473513139,1.077465526,-1,,
0.886378202,0.499898676,0.873445137,-0.116140988,5.136456128,5.504245713,1.042227611,-1,,
0.931773601,0.554025493,0.872369787,0.085696424,5.154757035,5.534352223,1.006989697,-1,,
0.977176655,0.608145896,0.873162376,-0.063257191,5.174107251,5.563795292,0.971751783,-1,,
1.022574086,0.662271019,0.872577647,0.046702744,5.194482753,5.592538362,0.936513868,-1,,
1.067975662,0.716392666,0.873009216,-0.034484453,5.215858241,5.620545748,0.901275955,-0.999999982,,
1.113374182,0.770516878,0.872690601,0.025464051,5.238060321,5.647906198,0.876929678,-0.38182282,,
1.158774958,0.824639198,0.872925852,-0.018803799,5.260596715,5.674995339,0.87683854,0.376650091,,
1.204174069,0.878762915,0.872752139,0.013885772,5.283133112,5.702084477,0.876929416,-0.371492249,,
1.24957441,0.932885601,0.872880415,-0.01025412,5.305669501,5.729173622,0.876839116,0.366367074,,
1.294973842,0.987009048,0.872785689,0.007572312,5.328205902,5.756262757,0.876928549,-0.361291103,,
1.340373946,1.041131933,0.87285564,-0.005591904,5.350742288,5.783351903,0.876840153,0.356274027,,
1.385773554,1.095255234,0.872803984,0.004129442,5.37327869,5.810441037,0.876927449,-0.351319379,,
1.431173528,1.149378227,0.87284213,-0.003049463,5.395815077,5.837530184,0.87684127,0.34642811,,
1.476573231,1.203501447,0.87281396,0.002251933,5.418351478,5.864619318,0.876926328,-0.341600444,,
1.521973135,1.2576245,0.872834763,-0.001662983,5.440887865,5.891708465,0.876842382,0.336835921,,
1.56737289,1.311747677,0.872819401,0.001228061,5.463424266,5.918797599,0.876925228,-0.332133832,,
1.612772755,1.365870762,0.872830745,-0.000906885,5.485960653,5.945886745,0.876843469,0.327493409,,
1.65817254,1.419993914,0.872822368,0.000669706,5.508497055,5.97297588,0.876924158,-0.322913723,,
1.703572383,1.474117017,0.872828554,-0.000494557,5.531033442,6.000065026,0.876844519,0.318393639,,
1.748972183,1.528240157,0.872823986,0.000365215,5.553569843,6.02715416,0.87692313,-0.313931901,,
1.794372015,1.582363269,0.87282736,-0.0002697,5.57610623,6.054243306,0.876845524,0.309527194,,
1.839771824,1.636486402,0.872824868,0.000199165,5.598642631,6.081332441,0.876922149,-0.305178197,,
1.88517165,1.690609519,0.872826708,-0.000147077,5.621179018,6.108421587,0.876846483,0.30088362,,
1.930571463,1.744732648,0.872825349,0.000108612,5.643715419,6.135510722,0.876921211,-0.296642236,,
1.975971285,1.798855768,0.872826353,-8.02E-05,5.666251807,6.162599867,0.8768474,0.292452902,,
2.021371101,1.852978895,0.872825612,5.92E-05,5.688788207,6.189689003,0.876920313,-0.288314571,,
2.066770922,1.907102017,0.872826159,-4.37E-05,5.711324595,6.216778148,0.876848282,0.284226292,,
2.112170738,1.961225142,0.872825755,3.23E-05,5.733860995,6.243867283,0.876919446,-0.280187215,,
2.157570558,2.015348265,0.872826053,-2.39E-05,5.756397383,6.270956428,0.876849135,0.276196583,,
2.202970376,2.06947139,0.872825833,1.76E-05,5.778933783,6.298045564,0.876918604,-0.272253726,,
2.248370195,2.123594513,0.872825996,-1.30E-05,5.801470172,6.325134709,0.876849967,0.268358053,,
2.293770013,2.177717637,0.872825875,9.61E-06,5.824006571,6.352223845,0.876917782,-0.264509042,,
2.339169832,2.231840761,0.872825964,-7.09E-06,5.84654296,6.37931299,0.876850781,0.260706235,,
2.38456965,2.285963885,0.872825899,5.24E-06,5.86907936,6.406402125,0.876916975,-0.256949223,,
2.429969469,2.340087009,0.872825947,-3.87E-06,5.891615748,6.43349127,0.876851581,0.253237644,,
2.475369287,2.394210133,0.872825911,2.86E-06,5.914152148,6.460580406,0.876916181,-0.249571171,,
2.520769106,2.448333257,0.872825938,-2.11E-06,5.936688537,6.487669551,0.876852371,0.245949506,,
2.566168924,2.502456381,0.872825918,1.56E-06,5.959224936,6.514758687,0.876915396,-0.242372377,,
2.611568743,2.556579505,0.872825933,-1.15E-06,5.981761325,6.541847831,0.876853151,0.238839528,,
2.656968561,2.610702629,0.872825922,8.50E-07,6.004297724,6.568936967,0.87691462,-0.235350717,,
2.70236838,2.664825753,0.87282593,-6.27E-07,6.026834113,6.596026112,0.876853923,0.231905712,,
2.747768198,2.718948877,0.872825924,4.63E-07,6.049370512,6.623115248,0.876913852,-0.228504286,,
2.793168017,2.773072,0.872825928,-3.42E-07,6.071906901,6.650204393,0.876854686,0.225146215,,
2.838567835,2.827195124,0.872825925,2.53E-07,6.094443301,6.677293529,0.876913092,-0.221831277,,
2.883967654,2.881318248,0.872825927,-1.87E-07,6.11697969,6.704382673,0.876855442,0.218559247,,
2.929367472,2.935441372,0.872825926,1.38E-07,6.139516089,6.731471809,0.87691234,-0.215329898,,
2.974767291,2.989564496,0.872825927,-1.02E-07,6.162052478,6.758560954,0.87685619,0.212142997,,
3.020167109,3.04368762,0.872825926,7.51E-08,6.184588877,6.78565009,0.876911596,-0.208998309,,
3.065566928,3.097810744,0.872825927,-5.55E-08,6.207125266,6.812739234,0.87685693,0.205895589,,
3.110966746,3.151933868,0.872825926,4.10E-08,6.229661665,6.839828371,0.876910861,-0.202834588,,
3.156366565,3.206056992,0.872825927,-3.03E-08,6.252198054,6.866917515,0.87685766,0.19981505,,
3.201766383,3.260180116,0.872825926,2.23E-08,6.274734453,6.894006651,0.876910136,-0.19683671,,
3.247166202,3.31430324,0.872825927,-1.65E-08,6.297270843,6.921095796,0.876858381,0.193899297,,
3.29256602,3.368426364,0.872825926,1.22E-08,6.319807242,6.948184932,0.876909419,-0.191002534,,
3.337965839,3.422549488,0.872825927,-9.00E-09,6.342343631,6.975274076,0.876859093,0.188146133,,
3.383365657,3.476672612,0.872825926,6.65E-09,6.36488003,7.002363213,0.876908713,-0.185329804,,
3.428765476,3.530795735,0.872825927,-4.91E-09,6.387416419,7.029452357,0.876859793,0.182553245,,
3.474165294,3.584918859,0.872825926,3.62E-09,6.409952818,7.056541493,0.876908018,-0.179816151,,
3.519565113,3.639041983,0.872825927,-2.68E-09,6.432489207,7.083630637,0.876860483,0.17711821,,
3.564964931,3.693165107,0.872825926,1.98E-09,6.455025606,7.110719774,0.876907334,-0.174459104,,
3.61036475,3.747288231,0.872825927,-1.46E-09,6.477561996,7.137808918,0.876861162,0.171838508,,
3.655764568,3.801411355,0.872825926,1.08E-09,6.500098394,7.164898055,0.876906661,-0.169256094,,
3.701164387,3.855534479,0.872825926,-7.96E-10,6.522634784,7.191987199,0.876861828,0.166711528,,
3.746564205,3.909657603,0.872825926,5.88E-10,6.545171182,7.219076335,0.876906,-0.164204472,,
3.791964024,3.963780727,0.872825926,-4.34E-10,6.567707572,7.246165479,0.876862483,0.161734583,,
3.837363842,4.017903851,0.872825926,3.21E-10,6.590243971,7.273254616,0.876905351,-0.159301516,,
3.882763661,4.072026975,0.872825926,-2.37E-10,6.61278036,7.30034376,0.876863126,0.156904921,,
3.928163479,4.126150099,0.872825926,1.75E-10,6.635316759,7.327432897,0.876904715,-0.154544446,,
3.973563298,4.180273223,0.872825926,-1.29E-10,6.657853149,7.35452204,0.876863756,0.152219735,,
4.018963116,4.234396346,0.872825926,9.53E-11,6.680389547,7.381611177,0.876904091,-0.149930432,,
4.064362935,4.28851947,0.872825926,-7.04E-11,6.702925937,7.408700321,0.876864374,0.147676178,,
4.109762753,4.342642594,0.872825926,5.20E-11,6.725462335,7.435789458,0.87690348,-0.145456612,,
4.155162572,4.396765718,0.872825926,-3.84E-11,6.747998725,7.462878602,0.876864978,0.143271372,,
4.20056239,4.450888842,0.872825926,2.83E-11,6.770535123,7.489967739,0.876902882,-0.141120096,,
4.245962209,4.505011966,0.872825926,-2.09E-11,6.793071514,7.517056882,0.87686557,0.13900242,,
4.291362027,4.55913509,0.872825926,1.55E-11,6.815607912,7.544146019,0.876902296,-0.13691798,,
4.336761846,4.613258214,0.872825926,-1.14E-11,6.838144302,7.571235163,0.87686615,0.134866412,,
4.382161664,4.667381338,0.872825926,8.43E-12,6.8606807,7.5983243,0.876901723,-0.132847354,,
4.427561483,4.721504462,0.872825926,-6.22E-12,6.88321709,7.625413443,0.876866716,0.130860441,,
4.472961301,4.775627586,0.872825926,4.59E-12,6.905753488,7.652502581,0.876901163,-0.128905312,,
4.51836112,4.82975071,0.872825926,-3.39E-12,6.928289878,7.679591724,0.87686727,0.126981604,,
4.563760938,4.883873834,0.872825926,2.51E-12,6.950826276,7.706680861,0.876900616,-0.125088958,,
4.609160757,4.937996958,0.872825926,-1.85E-12,6.973362667,7.733770005,0.87686781,0.123227014,,
4.654560575,4.992120081,0.872825926,1.36E-12,6.995899064,7.760859142,0.876900081,-0.121395415,,
4.699960394,5.046243205,0.872825926,-1.00E-12,7.018435455,7.787948285,0.876868339,0.119593805,,
4.745360212,5.100366329,0.872825926,7.41E-13,7.040971853,7.815037423,0.876899559,-0.117821831,,
4.790760031,5.154489453,0.872825926,-5.52E-13,7.063508243,7.842126566,0.876868855,0.11607914,,
